	accuracy	precision	recall	f1
0	0.4453125	0.27027026	0.5405405	0.36036032
1	0.5078125	0.40229884	0.76086956	0.52631575
2	0.4765625	0.39759037	0.66	0.49624065
3	0.515625	0.3764706	0.7804878	0.50793654
4	0.4140625	0.29069766	0.64102566	0.4
5	0.390625	0.24719101	0.6666667	0.36065575
6	0.5	0.3902439	0.6956522	0.5
7	0.3984375	0.29896906	0.7631579	0.42962962
8	0.6171875	0.50617284	0.82	0.62595415
9	0.4921875	0.33333334	0.7105263	0.45378152
10	0.4921875	0.35	0.68292683	0.46280992
11	0.4609375	0.3604651	0.6888889	0.47328243
12	0.453125	0.33333334	0.70731705	0.453125
13	0.453125	0.35	0.6086956	0.44444442
14	0.484375	0.32954547	0.8055556	0.46774194
15	0.4921875	0.42105263	0.8	0.55172414
16	0.46875	0.28235295	0.7741935	0.41379315
17	0.421875	0.26744187	0.6764706	0.38333336
18	0.515625	0.44871795	0.6481481	0.530303
19	0.4296875	0.26744187	0.6969697	0.38655463
20	0.4765625	0.33734939	0.7	0.45528457
21	0.3671875	0.27659574	0.6666667	0.3909774
22	0.4453125	0.36458334	0.7777778	0.4964539
23	0.484375	0.33734939	0.71794873	0.4590164
24	0.3671875	0.26595744	0.6756757	0.38167942
25	0.453125	0.3409091	0.71428573	0.46153846
26	0.484375	0.33333334	0.65	0.44067797
27	0.421875	0.31182796	0.74358976	0.43939394
28	0.5	0.36666667	0.825	0.50769234
29	0.46875	0.3956044	0.7346939	0.51428574
30	0.515625	0.33333334	0.7222222	0.45614034
31	0.4609375	0.30952382	0.7027027	0.42975205
32	0.390625	0.29213482	0.63414633	0.4
33	0.5234375	0.4117647	0.76086956	0.53435117
34	0.53125	0.38271606	0.75609756	0.5081968
35	0.421875	0.3409091	0.65217394	0.44776124
36	0.5	0.325	0.7222222	0.44827586
37	0.46875	0.30952382	0.7222222	0.43333337
38	0.390625	0.26744187	0.6052632	0.37096775
39	0.5	0.45348838	0.6964286	0.5492958
40	0.4375	0.30487806	0.625	0.40983605
41	0.4609375	0.3548387	0.78571427	0.48888886
42	0.5078125	0.39772728	0.7777778	0.5263158
43	0.4453125	0.31111112	0.7567568	0.4409449
44	0.4453125	0.2857143	0.6857143	0.40336135
45	0.359375	0.2247191	0.6060606	0.32786888
46	0.46875	0.34375	0.8684211	0.4925373
47	0.453125	0.3	0.7941176	0.43548387
48	0.4609375	0.30588236	0.7222222	0.42975208
49	0.4140625	0.25882354	0.64705884	0.36974794
