	accuracy	precision	recall	f1
0	0.25	0.26666668	0.8	0.4
1	0.25	0.26666668	0.8	0.4
2	0.25	0.25	1.0	0.4
3	0.3125	0.3125	1.0	0.47619048
4	0.375	0.4	0.85714287	0.54545456
5	0.375	0.35714287	0.8333333	0.5
6	0.3125	0.3125	1.0	0.47619048
7	0.0625	0.0625	1.0	0.11764706
8	0.4375	0.4375	1.0	0.6086956
9	0.25	0.21428572	0.75	0.3333333
10	0.1875	0.1875	1.0	0.31578946
11	0.25	0.25	1.0	0.4
12	0.375	0.375	1.0	0.54545456
13	0.3125	0.3125	1.0	0.47619048
14	0.3125	0.3125	1.0	0.47619048
15	0.25	0.26666668	0.8	0.4
16	0.1875	0.2	0.75	0.3157895
17	0.375	0.375	1.0	0.54545456
18	0.125	0.125	1.0	0.22222222
19	0.25	0.25	1.0	0.4
20	0.375	0.4	0.85714287	0.54545456
21	0.1875	0.2	0.75	0.3157895
22	0.375	0.375	1.0	0.54545456
23	0.125	0.125	1.0	0.22222222
24	0.3125	0.3125	1.0	0.47619048
25	0.25	0.26666668	0.8	0.4
26	0.375	0.375	1.0	0.54545456
27	0.125	0.125	1.0	0.22222222
28	0.25	0.25	1.0	0.4
29	0.5625	0.6	0.9	0.72
30	0.125	0.13333334	0.6666667	0.22222224
31	0.1875	0.1875	1.0	0.31578946
32	0.1875	0.1875	1.0	0.31578946
33	0.3125	0.3125	1.0	0.47619048
34	0.375	0.375	1.0	0.54545456
35	0.1875	0.1875	1.0	0.31578946
36	0.125	0.15384616	0.4	0.22222222
37	0.125	0.13333334	0.6666667	0.22222224
38	0.5	0.5	1.0	0.6666667
39	0.4375	0.46666667	0.875	0.6086956
40	0.125	0.125	1.0	0.22222222
41	0.375	0.4	0.85714287	0.54545456
42	0.25	0.25	1.0	0.4
43	0.375	0.375	1.0	0.54545456
44	0.25	0.2	1.0	0.3333333
45	0.3125	0.3125	1.0	0.47619048
46	0.1875	0.1875	1.0	0.31578946
47	0.25	0.26666668	0.8	0.4
48	0.25	0.26666668	0.8	0.4
49	0.3125	0.3125	1.0	0.47619048
