	accuracy	precision	recall	f1
0	0.69140625	inf	0.0	inf
1	0.69140625	inf	0.0	inf
2	0.6875	inf	0.0	inf
3	0.7109375	inf	0.0	inf
4	0.6875	inf	0.0	inf
5	0.69921875	inf	0.0	inf
6	0.6875	0.0	0.0	nan
7	0.69921875	inf	0.0	inf
8	0.64453125	inf	0.0	inf
9	0.671875	inf	0.0	inf
10	0.67578125	inf	0.0	inf
11	0.69921875	inf	0.0	inf
12	0.7265625	inf	0.0	inf
13	0.6640625	inf	0.0	inf
14	0.6875	inf	0.0	inf
15	0.6796875	inf	0.0	inf
16	0.6640625	inf	0.0	inf
17	0.625	inf	0.0	inf
18	0.66015625	inf	0.0	inf
19	0.74609375	inf	0.0	inf
20	0.63671875	inf	0.0	inf
21	0.6796875	inf	0.0	inf
22	0.7265625	inf	0.0	inf
23	0.66796875	inf	0.0	inf
24	0.6171875	inf	0.0	inf
25	0.69140625	inf	0.0	inf
26	0.6875	inf	0.0	inf
27	0.6953125	inf	0.0	inf
28	0.7421875	inf	0.0	inf
29	0.6640625	inf	0.0	inf
30	0.734375	inf	0.0	inf
31	0.65234375	inf	0.0	inf
32	0.6640625	inf	0.0	inf
33	0.671875	inf	0.0	inf
34	0.625	inf	0.0	inf
35	0.66796875	inf	0.0	inf
36	0.69921875	0.0	0.0	nan
37	0.70703125	inf	0.0	inf
38	0.68359375	inf	0.0	inf
39	0.69140625	inf	0.0	inf
40	0.62890625	inf	0.0	inf
41	0.64453125	inf	0.0	inf
42	0.66015625	inf	0.0	inf
43	0.6953125	inf	0.0	inf
44	0.68359375	inf	0.0	inf
45	0.72265625	inf	0.0	inf
46	0.7109375	inf	0.0	inf
47	0.66015625	inf	0.0	inf
48	0.6640625	inf	0.0	inf
49	0.73828125	inf	0.0	inf
