	accuracy	precision	recall	f1
0	0.34375	0.34375	1.0	0.5116279
1	0.40625	0.40625	1.0	0.5777778
2	0.40625	0.40625	1.0	0.5777778
3	0.375	0.375	1.0	0.54545456
4	0.375	0.375	1.0	0.54545456
5	0.15625	0.15625	1.0	0.27027026
6	0.5	0.5	1.0	0.6666667
7	0.28125	0.28125	1.0	0.4390244
8	0.40625	0.40625	1.0	0.5777778
9	0.34375	0.34375	1.0	0.5116279
10	0.25	0.25	1.0	0.4
11	0.34375	0.34375	1.0	0.5116279
12	0.4375	0.4375	1.0	0.6086956
13	0.28125	0.28125	1.0	0.4390244
14	0.375	0.375	1.0	0.54545456
15	0.25	0.25	1.0	0.4
16	0.375	0.375	1.0	0.54545456
17	0.1875	0.1875	1.0	0.31578946
18	0.34375	0.34375	1.0	0.5116279
19	0.375	0.375	1.0	0.54545456
20	0.4375	0.4375	1.0	0.6086956
21	0.4375	0.4375	1.0	0.6086956
22	0.34375	0.34375	1.0	0.5116279
23	0.3125	0.3125	1.0	0.47619048
24	0.3125	0.3125	1.0	0.47619048
25	0.53125	0.53125	1.0	0.6938776
26	0.375	0.375	1.0	0.54545456
27	0.21875	0.21875	1.0	0.35897437
28	0.28125	0.28125	1.0	0.4390244
29	0.34375	0.34375	1.0	0.5116279
30	0.28125	0.28125	1.0	0.4390244
31	0.25	0.25	1.0	0.4
32	0.28125	0.28125	1.0	0.4390244
33	0.25	0.25	1.0	0.4
34	0.3125	0.3125	1.0	0.47619048
35	0.3125	0.3125	1.0	0.47619048
36	0.25	0.25	1.0	0.4
37	0.34375	0.34375	1.0	0.5116279
38	0.21875	0.21875	1.0	0.35897437
39	0.28125	0.28125	1.0	0.4390244
40	0.1875	0.1875	1.0	0.31578946
41	0.28125	0.28125	1.0	0.4390244
42	0.3125	0.3125	1.0	0.47619048
43	0.5	0.5	1.0	0.6666667
44	0.5	0.5	1.0	0.6666667
45	0.21875	0.21875	1.0	0.35897437
46	0.09375	0.09375	1.0	0.17142858
47	0.4375	0.4375	1.0	0.6086956
48	0.21875	0.21875	1.0	0.35897437
49	0.34375	0.34375	1.0	0.5116279
