	accuracy	precision	recall	f1
0	0.4375	0.2857143	0.13333334	0.18181819
1	0.53125	0.16666667	0.09090909	0.11764707
2	0.40625	0.6666667	0.1904762	0.2962963
3	0.625	0.11111111	0.2	0.14285713
4	0.625	0.33333334	0.2	0.25
5	0.5625	0.14285715	0.11111111	0.125
6	0.53125	0.1	0.14285715	0.11764706
7	0.5	0.375	0.21428572	0.27272725
8	0.625	0.375	0.3	0.33333334
9	0.75	0.2857143	0.4	0.33333334
10	0.6875	0.2	0.14285715	0.16666667
11	0.625	0.0	0.0	nan
12	0.65625	0.375	0.33333334	0.35294116
13	0.65625	0.4	0.2	0.26666668
14	0.59375	0.16666667	0.11111111	0.13333333
15	0.4375	0.25	0.14285715	0.18181819
16	0.46875	0.125	0.09090909	0.10526316
17	0.75	inf	0.0	inf
18	0.71875	inf	0.0	inf
19	0.78125	inf	0.0	inf
20	0.71875	inf	0.0	inf
21	0.625	inf	0.0	inf
22	0.65625	inf	0.0	inf
23	0.59375	inf	0.0	inf
24	0.75	inf	0.0	inf
25	0.59375	inf	0.0	inf
26	0.65625	inf	0.0	inf
27	0.78125	inf	0.0	inf
28	0.625	inf	0.0	inf
29	0.6875	inf	0.0	inf
30	0.65625	inf	0.0	inf
31	0.71875	inf	0.0	inf
32	0.75	inf	0.0	inf
33	0.71875	inf	0.0	inf
34	0.71875	inf	0.0	inf
35	0.6875	inf	0.0	inf
36	0.59375	inf	0.0	inf
37	0.75	inf	0.0	inf
38	0.625	inf	0.0	inf
39	0.59375	inf	0.0	inf
40	0.65625	inf	0.0	inf
41	0.6875	inf	0.0	inf
42	0.75	inf	0.0	inf
43	0.5625	inf	0.0	inf
44	0.5625	0.42105263	0.72727275	0.5333333
45	0.5	0.4	0.46153846	0.42857143
46	0.625	0.44444445	0.36363637	0.4
47	0.65625	0.45454547	0.5	0.47619048
48	0.4375	0.22222222	0.5	0.30769232
49	0.59375	inf	0.0	inf
