	accuracy	precision	recall	f1
0	0.125	0.125	1.0	0.22222222
1	0.25	0.25	1.0	0.4
2	0.375	0.375	1.0	0.54545456
3	0.125	0.125	1.0	0.22222222
4	0.375	0.375	1.0	0.54545456
5	0.375	0.375	1.0	0.54545456
6	0.375	0.375	1.0	0.54545456
7	0.625	0.625	1.0	0.7692308
8	0.0	0.0	inf	inf
9	0.375	0.375	1.0	0.54545456
10	0.5	0.5	1.0	0.6666667
11	0.5	0.5	1.0	0.6666667
12	0.125	0.125	1.0	0.22222222
13	0.25	0.25	1.0	0.4
14	0.375	0.375	1.0	0.54545456
15	0.625	inf	0.0	inf
16	0.75	inf	0.0	inf
17	0.625	inf	0.0	inf
18	0.625	inf	0.0	inf
19	0.75	inf	0.0	inf
20	0.75	inf	0.0	inf
21	0.125	0.0	0.0	nan
22	0.75	1.0	0.33333334	0.5
23	0.875	inf	0.0	inf
24	0.625	inf	0.0	inf
25	0.375	0.0	0.0	nan
26	0.625	0.0	0.0	nan
27	0.5	inf	0.0	inf
28	0.375	0.0	0.0	nan
29	0.625	0.5	0.33333334	0.4
30	0.75	1.0	0.33333334	0.5
31	0.75	0.5	0.5	0.5
32	0.625	0.25	1.0	0.4
33	0.5	0.4	0.6666667	0.5
34	0.75	0.6666667	0.6666667	0.6666667
35	0.375	0.2	0.5	0.2857143
36	0.625	0.4	1.0	0.5714286
37	0.5	0.33333334	0.33333334	0.33333334
38	0.375	0.25	0.33333334	0.28571427
39	0.5	0.0	inf	inf
40	0.625	0.25	1.0	0.4
41	0.625	inf	0.0	inf
42	0.625	inf	0.0	inf
43	0.5	inf	0.0	inf
44	0.625	inf	0.0	inf
45	0.375	inf	0.0	inf
46	0.75	inf	0.0	inf
47	0.75	inf	0.0	inf
48	0.75	inf	0.0	inf
49	0.875	inf	0.0	inf
