	accuracy	precision	recall	f1
0	0.5	0.2	1.0	0.3333333
1	0.375	0.2	0.5	0.2857143
2	0.5	0.6	0.6	0.6
3	0.625	0.75	0.6	0.6666667
4	0.625	0.25	1.0	0.4
5	0.75	0.6	1.0	0.75
6	0.75	0.6	1.0	0.75
7	0.25	0.33333334	0.2	0.25
8	0.625	0.75	0.6	0.6666667
9	0.375	0.0	inf	inf
10	0.5	0.4	0.6666667	0.5
11	0.875	0.8	1.0	0.88888896
12	0.75	0.33333334	1.0	0.5
13	0.5	0.25	0.5	0.33333334
14	0.5	0.5	0.5	0.5
15	0.75	0.6666667	1.0	0.8
16	0.625	0.4	1.0	0.5714286
17	0.625	0.5	1.0	0.6666667
18	0.5	0.5	0.75	0.6
19	0.5	0.25	0.5	0.33333334
20	0.375	0.25	0.33333334	0.28571427
21	0.625	0.4	1.0	0.5714286
22	0.375	0.33333334	0.6666667	0.44444448
23	0.5	0.33333334	1.0	0.5
24	0.5	0.33333334	1.0	0.5
25	0.75	0.33333334	1.0	0.5
26	0.625	0.8	0.6666667	0.72727275
27	0.5	0.5	0.75	0.6
28	0.5	0.33333334	1.0	0.5
29	0.5	0.2	1.0	0.3333333
30	0.75	0.8	0.8	0.8000001
31	0.5	0.33333334	0.33333334	0.33333334
32	0.5	0.42857143	1.0	0.59999996
33	0.625	0.75	0.6	0.6666667
34	0.25	0.14285715	1.0	0.25
35	0.375	0.25	0.33333334	0.28571427
36	0.625	0.5	0.6666667	0.57142854
37	0.5	0.4	0.6666667	0.5
38	0.75	0.33333334	1.0	0.5
39	0.625	0.5	0.6666667	0.57142854
40	0.75	inf	0.0	inf
41	0.625	0.25	1.0	0.4
42	0.5	0.5	0.75	0.6
43	0.75	0.0	0.0	nan
44	0.5	0.42857143	1.0	0.59999996
45	0.375	0.33333334	0.6666667	0.44444448
46	0.5	0.33333334	0.33333334	0.33333334
47	0.5	0.25	0.5	0.33333334
48	0.625	0.4	1.0	0.5714286
49	0.5	0.2	1.0	0.3333333
