	accuracy	precision	recall	f1
0	0.375	0.375	1.0	0.54545456
1	0.375	0.375	1.0	0.54545456
2	0.125	0.125	1.0	0.22222222
3	0.125	0.125	1.0	0.22222222
4	0.375	0.375	1.0	0.54545456
5	0.0	0.0	inf	inf
6	0.5	0.5	1.0	0.6666667
7	0.125	0.125	1.0	0.22222222
8	0.0	0.0	inf	inf
9	0.375	0.375	1.0	0.54545456
10	0.25	0.25	1.0	0.4
11	0.25	0.25	1.0	0.4
12	0.375	0.375	1.0	0.54545456
13	0.5	0.5	1.0	0.6666667
14	0.5	0.5	1.0	0.6666667
15	0.375	0.375	1.0	0.54545456
16	0.5	0.5	1.0	0.6666667
17	0.125	0.125	1.0	0.22222222
18	0.25	0.25	1.0	0.4
19	0.5	0.5	1.0	0.6666667
20	0.375	0.375	1.0	0.54545456
21	0.375	0.375	1.0	0.54545456
22	0.125	0.125	1.0	0.22222222
23	0.375	0.375	1.0	0.54545456
24	0.375	0.375	1.0	0.54545456
25	0.25	0.25	1.0	0.4
26	0.125	0.125	1.0	0.22222222
27	0.25	0.25	1.0	0.4
28	0.125	0.125	1.0	0.22222222
29	0.125	0.125	1.0	0.22222222
30	0.375	0.375	1.0	0.54545456
31	0.125	0.125	1.0	0.22222222
32	0.375	0.375	1.0	0.54545456
33	0.5	0.5	1.0	0.6666667
34	0.25	0.25	1.0	0.4
35	0.0	0.0	inf	inf
36	0.25	0.25	1.0	0.4
37	0.5	0.5	1.0	0.6666667
38	0.5	0.5	1.0	0.6666667
39	0.5	0.5	1.0	0.6666667
40	0.25	0.25	1.0	0.4
41	0.375	0.375	1.0	0.54545456
42	0.25	0.25	1.0	0.4
43	0.25	0.25	1.0	0.4
44	0.5	0.5	1.0	0.6666667
45	0.125	0.125	1.0	0.22222222
46	0.125	0.125	1.0	0.22222222
47	0.375	0.375	1.0	0.54545456
48	0.25	0.25	1.0	0.4
49	0.375	0.375	1.0	0.54545456
