	accuracy	precision	recall	f1
0	0.953125	inf	0.0	inf
1	0.9375	0.0	0.0	nan
2	0.9453125	inf	0.0	inf
3	0.9453125	inf	0.0	inf
4	0.9453125	inf	0.0	inf
5	0.984375	inf	0.0	inf
6	0.96875	inf	0.0	inf
7	0.9453125	1.0	0.125	0.22222222
8	0.96875	inf	0.0	inf
9	0.953125	inf	0.0	inf
10	0.9609375	inf	0.0	inf
11	0.9765625	inf	0.0	inf
12	0.9921875	inf	0.0	inf
13	0.9921875	inf	0.0	inf
14	0.9765625	inf	0.0	inf
15	0.9609375	inf	0.0	inf
16	0.9609375	inf	0.0	inf
17	0.9140625	inf	0.0	inf
18	0.953125	inf	0.0	inf
19	0.9765625	inf	0.0	inf
20	0.9921875	inf	0.0	inf
21	0.9609375	inf	0.0	inf
22	0.984375	inf	0.0	inf
23	0.96875	inf	0.0	inf
24	0.984375	1.0	0.33333334	0.5
25	0.984375	inf	0.0	inf
26	0.9765625	inf	0.0	inf
27	0.9296875	inf	0.0	inf
28	0.9609375	inf	0.0	inf
29	0.9453125	inf	0.0	inf
30	0.96875	inf	0.0	inf
31	0.9765625	inf	0.0	inf
32	0.9296875	inf	0.0	inf
33	0.9375	inf	0.0	inf
34	0.96875	inf	0.0	inf
35	0.9453125	inf	0.0	inf
36	0.9453125	inf	0.0	inf
37	0.953125	inf	0.0	inf
38	0.9765625	inf	0.0	inf
39	0.9453125	inf	0.0	inf
40	0.96875	0.0	0.0	nan
41	0.9375	0.0	0.0	nan
42	0.984375	inf	0.0	inf
43	0.9453125	inf	0.0	inf
44	0.9765625	0.0	0.0	nan
45	0.9609375	0.0	0.0	nan
46	0.953125	inf	0.0	inf
47	0.9609375	inf	0.0	inf
48	0.984375	inf	0.0	inf
49	0.984375	inf	0.0	inf
50	0.9765625	inf	0.0	inf
51	0.9296875	inf	0.0	inf
52	0.9765625	inf	0.0	inf
53	0.9296875	inf	0.0	inf
54	0.984375	inf	0.0	inf
55	0.9609375	inf	0.0	inf
56	0.96875	inf	0.0	inf
57	0.9609375	inf	0.0	inf
58	0.984375	inf	0.0	inf
59	0.96875	inf	0.0	inf
60	0.9609375	inf	0.0	inf
61	0.984375	inf	0.0	inf
62	0.9765625	inf	0.0	inf
63	0.9609375	inf	0.0	inf
64	0.96875	0.0	0.0	nan
65	0.9609375	inf	0.0	inf
66	0.96875	inf	0.0	inf
67	0.984375	1.0	0.33333334	0.5
68	0.96875	inf	0.0	inf
69	0.9296875	inf	0.0	inf
70	0.9609375	inf	0.0	inf
71	0.984375	0.0	0.0	nan
72	0.9609375	0.0	0.0	nan
73	0.953125	inf	0.0	inf
74	0.9453125	0.0	0.0	nan
75	0.96875	inf	0.0	inf
76	0.96875	inf	0.0	inf
77	0.9765625	inf	0.0	inf
78	0.9375	inf	0.0	inf
79	0.96875	inf	0.0	inf
80	0.9609375	inf	0.0	inf
81	0.9765625	inf	0.0	inf
82	0.9609375	0.0	0.0	nan
83	0.9609375	inf	0.0	inf
84	0.9765625	inf	0.0	inf
85	0.9609375	inf	0.0	inf
86	0.9609375	inf	0.0	inf
87	0.953125	inf	0.0	inf
88	0.984375	inf	0.0	inf
89	0.96875	inf	0.0	inf
90	0.9609375	inf	0.0	inf
91	0.9453125	inf	0.0	inf
92	0.953125	inf	0.0	inf
93	0.9921875	inf	0.0	inf
94	0.9453125	0.0	0.0	nan
95	0.921875	inf	0.0	inf
96	0.96875	inf	0.0	inf
97	0.9375	0.0	0.0	nan
98	0.9609375	inf	0.0	inf
99	0.96875	inf	0.0	inf
100	0.953125	inf	0.0	inf
101	0.9765625	inf	0.0	inf
102	0.9921875	inf	0.0	inf
103	0.984375	inf	0.0	inf
104	0.984375	inf	0.0	inf
105	0.96875	inf	0.0	inf
106	0.9921875	1.0	0.5	0.6666667
107	0.9765625	0.0	0.0	nan
108	0.9609375	inf	0.0	inf
109	0.9453125	inf	0.0	inf
110	0.9765625	inf	0.0	inf
111	0.9453125	inf	0.0	inf
112	0.9296875	inf	0.0	inf
113	0.953125	inf	0.0	inf
114	0.9609375	inf	0.0	inf
115	0.9765625	inf	0.0	inf
116	0.953125	0.0	0.0	nan
117	0.953125	0.0	0.0	nan
118	0.96875	1.0	0.2	0.3333333
119	0.9765625	inf	0.0	inf
120	0.9765625	inf	0.0	inf
121	0.96875	inf	0.0	inf
122	0.9609375	inf	0.0	inf
123	0.9609375	inf	0.0	inf
124	0.984375	inf	0.0	inf
125	0.9296875	0.0	0.0	nan
126	0.96875	inf	0.0	inf
127	0.9609375	inf	0.0	inf
128	0.9765625	inf	0.0	inf
129	0.96875	1.0	0.2	0.3333333
130	0.9609375	0.0	0.0	nan
131	0.9765625	inf	0.0	inf
132	0.9765625	inf	0.0	inf
133	0.9609375	inf	0.0	inf
134	0.953125	0.0	0.0	nan
135	0.921875	0.0	0.0	nan
136	0.921875	inf	0.0	inf
137	0.953125	inf	0.0	inf
138	0.984375	inf	0.0	inf
139	0.9375	1.0	0.11111111	0.19999999
140	0.9765625	inf	0.0	inf
141	0.953125	inf	0.0	inf
142	0.9375	0.0	0.0	nan
143	0.9765625	inf	0.0	inf
144	0.9765625	inf	0.0	inf
145	0.9765625	inf	0.0	inf
146	0.9765625	inf	0.0	inf
147	0.9609375	inf	0.0	inf
148	0.9453125	0.0	0.0	nan
149	0.9921875	inf	0.0	inf
150	0.953125	inf	0.0	inf
151	0.9609375	inf	0.0	inf
152	0.984375	inf	0.0	inf
153	0.9453125	inf	0.0	inf
154	0.96875	0.0	0.0	nan
155	0.9921875	inf	0.0	inf
156	0.9765625	inf	0.0	inf
157	0.9609375	inf	0.0	inf
158	0.9453125	inf	0.0	inf
159	0.984375	inf	0.0	inf
160	0.96875	inf	0.0	inf
161	0.953125	inf	0.0	inf
162	0.96875	inf	0.0	inf
163	0.9453125	inf	0.0	inf
164	0.9375	inf	0.0	inf
165	0.9453125	inf	0.0	inf
166	0.9765625	inf	0.0	inf
167	0.96875	inf	0.0	inf
168	0.96875	inf	0.0	inf
169	0.9765625	inf	0.0	inf
170	0.9453125	inf	0.0	inf
171	0.984375	inf	0.0	inf
172	0.9609375	1.0	0.16666667	0.2857143
173	0.9609375	inf	0.0	inf
174	0.953125	inf	0.0	inf
175	0.96875	inf	0.0	inf
176	0.9609375	0.5	0.2	0.2857143
177	0.9765625	inf	0.0	inf
178	0.96875	inf	0.0	inf
179	0.9765625	inf	0.0	inf
180	0.9609375	inf	0.0	inf
181	0.953125	inf	0.0	inf
182	0.921875	inf	0.0	inf
183	0.96875	inf	0.0	inf
184	0.96875	inf	0.0	inf
185	0.9765625	inf	0.0	inf
186	0.9609375	inf	0.0	inf
187	0.9609375	inf	0.0	inf
188	0.9453125	inf	0.0	inf
189	0.9765625	inf	0.0	inf
190	0.9609375	inf	0.0	inf
191	0.9609375	inf	0.0	inf
192	0.9453125	inf	0.0	inf
193	0.9609375	inf	0.0	inf
194	0.953125	0.0	0.0	nan
195	0.9453125	inf	0.0	inf
196	0.9609375	inf	0.0	inf
197	1.0	inf	inf	inf
198	0.9765625	inf	0.0	inf
199	0.9609375	inf	0.0	inf
200	0.96875	0.0	0.0	nan
201	0.984375	inf	0.0	inf
202	0.9765625	0.0	0.0	nan
203	0.953125	0.0	0.0	nan
204	0.96875	inf	0.0	inf
205	0.984375	inf	0.0	inf
206	0.9453125	0.0	0.0	nan
207	0.9453125	inf	0.0	inf
208	0.9765625	1.0	0.25	0.4
209	0.984375	inf	0.0	inf
210	0.984375	inf	0.0	inf
211	0.953125	inf	0.0	inf
212	0.9765625	inf	0.0	inf
213	0.984375	inf	0.0	inf
214	0.96875	inf	0.0	inf
215	0.96875	0.0	0.0	nan
216	0.9453125	inf	0.0	inf
217	0.953125	inf	0.0	inf
218	0.9609375	inf	0.0	inf
219	0.9609375	0.0	0.0	nan
220	0.9609375	inf	0.0	inf
221	0.96875	1.0	0.2	0.3333333
222	0.96875	inf	0.0	inf
223	0.96875	inf	0.0	inf
224	0.9453125	inf	0.0	inf
225	0.953125	inf	0.0	inf
226	0.9375	inf	0.0	inf
227	0.9453125	inf	0.0	inf
228	0.96875	inf	0.0	inf
229	0.9609375	inf	0.0	inf
230	0.9765625	inf	0.0	inf
231	0.9609375	inf	0.0	inf
232	0.9609375	1.0	0.16666667	0.2857143
233	0.9765625	inf	0.0	inf
234	0.984375	inf	0.0	inf
235	0.96875	inf	0.0	inf
