	accuracy	precision	recall	f1
0	0.05078125	0.047244094	0.9230769	0.08988764
1	0.0546875	0.0546875	1.0	0.1037037
2	0.0390625	0.03529412	1.0	0.06818182
3	0.046875	0.04330709	0.9166667	0.08270677
4	0.0390625	0.035433073	0.9	0.06818182
5	0.03515625	0.03137255	1.0	0.060836505
6	0.00390625	0.003921569	0.5	0.0077821016
7	0.03125	0.03125	1.0	0.060606062
8	0.0625	0.05905512	0.9375	0.11111112
9	0.0390625	0.03529412	1.0	0.06818182
10	0.0234375	0.0234375	1.0	0.045801528
11	0.03125	0.023622047	1.0	0.046153847
12	0.01953125	0.015748031	0.8	0.03088803
13	0.04296875	0.043137256	0.9166667	0.08239701
14	0.05078125	0.047058824	1.0	0.08988764
15	0.02734375	0.02734375	1.0	0.05323194
16	0.0625	0.0627451	0.9411765	0.11764706
17	0.046875	0.043137256	1.0	0.082706764
18	0.05078125	0.05078125	1.0	0.09665427
19	0.0390625	0.0390625	1.0	0.075187966
20	0.03515625	0.03529412	0.9	0.06792453
21	0.04296875	0.035433073	1.0	0.06844107
22	0.04296875	0.023904383	1.0	0.04669261
23	0.04296875	0.04296875	1.0	0.08239701
24	0.015625	0.015625	1.0	0.03076923
25	0.046875	0.046875	1.0	0.08955224
26	0.05078125	0.047058824	1.0	0.08988764
27	0.03125	0.02745098	1.0	0.053435113
28	0.03125	0.03137255	0.8888889	0.060606066
29	0.03125	0.023622047	1.0	0.046153847
30	0.02734375	0.02734375	1.0	0.05323194
31	0.03125	0.03125	1.0	0.060606062
32	0.03125	0.027559055	0.875	0.053435113
33	0.02734375	0.02734375	1.0	0.05323194
34	0.046875	0.047058824	0.9230769	0.08955224
35	0.02734375	0.023529412	1.0	0.04597701
36	0.04296875	0.039215688	1.0	0.0754717
37	0.0390625	0.03529412	1.0	0.06818182
38	0.04296875	0.027777778	1.0	0.054054055
39	0.05078125	0.047058824	1.0	0.08988764
40	0.0390625	0.031496063	1.0	0.061068702
41	0.04296875	0.035433073	1.0	0.06844107
42	0.03125	0.03125	1.0	0.060606062
43	0.046875	0.043137256	1.0	0.082706764
44	0.0234375	0.0234375	1.0	0.045801528
45	0.046875	0.04330709	0.9166667	0.08270677
46	0.02734375	0.02734375	1.0	0.05323194
47	0.05859375	0.05859375	1.0	0.11070111
48	0.04296875	0.04296875	1.0	0.08239701
49	0.03125	0.03137255	0.8888889	0.060606066
50	0.02734375	0.027559055	0.7777778	0.05323194
51	0.01171875	0.01171875	1.0	0.023166023
52	0.0234375	0.0234375	1.0	0.045801528
53	0.01953125	0.015686275	1.0	0.030888032
54	0.046875	0.046875	1.0	0.08955224
55	0.04296875	0.039215688	1.0	0.0754717
56	0.05859375	0.05859375	1.0	0.11070111
57	0.03515625	0.03137255	1.0	0.060836505
58	0.04296875	0.03557312	0.9	0.06844106
59	0.03125	0.027559055	0.875	0.053435113
60	0.02734375	0.02734375	1.0	0.05323194
61	0.0390625	0.0390625	1.0	0.075187966
62	0.04296875	0.039215688	1.0	0.0754717
63	0.03515625	0.03515625	1.0	0.06792453
64	0.03515625	0.03137255	1.0	0.060836505
65	0.03125	0.02745098	1.0	0.053435113
66	0.0390625	0.031496063	1.0	0.061068702
67	0.0546875	0.04761905	0.85714287	0.09022557
68	0.0625	0.05905512	0.9375	0.11111112
69	0.046875	0.043137256	1.0	0.082706764
70	0.04296875	0.035433073	1.0	0.06844107
71	0.0390625	0.03529412	1.0	0.06818182
72	0.0234375	0.0234375	1.0	0.045801528
73	0.03515625	0.03137255	1.0	0.060836505
74	0.03125	0.02745098	1.0	0.053435113
75	0.04296875	0.04296875	1.0	0.08239701
76	0.03515625	0.03515625	1.0	0.06792453
77	0.01953125	0.015686275	1.0	0.030888032
78	0.03125	0.03125	1.0	0.060606062
79	0.0390625	0.03529412	1.0	0.06818182
80	0.03515625	0.03529412	0.9	0.06792453
81	0.0546875	0.04347826	1.0	0.083333336
82	0.05859375	0.05859375	1.0	0.11070111
83	0.02734375	0.02734375	1.0	0.05323194
84	0.03125	0.02745098	1.0	0.053435113
85	0.03515625	0.03515625	1.0	0.06792453
86	0.04296875	0.03937008	0.90909094	0.0754717
87	0.04296875	0.039215688	1.0	0.0754717
88	0.03515625	0.03137255	1.0	0.060836505
89	0.02734375	0.02734375	1.0	0.05323194
90	0.046875	0.043137256	1.0	0.082706764
91	0.05859375	0.05490196	1.0	0.10408922
92	0.02734375	0.02734375	1.0	0.05323194
93	0.03515625	0.031620555	0.8	0.060836505
94	0.0390625	0.0390625	1.0	0.075187966
95	0.0390625	0.0390625	1.0	0.075187966
96	0.046875	0.046875	1.0	0.08955224
97	0.05078125	0.047058824	1.0	0.08988764
98	0.01953125	0.01953125	1.0	0.038314175
99	0.02734375	0.02745098	0.875	0.05323194
100	0.0234375	0.019607844	1.0	0.038461536
101	0.03125	0.02745098	1.0	0.053435113
102	0.0234375	0.0234375	1.0	0.045801528
103	0.0546875	0.050980393	1.0	0.09701492
104	0.02734375	0.023529412	1.0	0.04597701
105	0.03515625	0.03137255	1.0	0.060836505
106	0.015625	0.015686275	0.8	0.030769233
107	0.02734375	0.02734375	1.0	0.05323194
108	0.05078125	0.047244094	0.9230769	0.08988764
109	0.0390625	0.03529412	1.0	0.06818182
110	0.03125	0.031496063	0.8	0.060606062
111	0.03515625	0.03137255	1.0	0.060836505
112	0.05078125	0.047244094	0.9230769	0.08988764
113	0.0703125	0.05928854	1.0	0.1119403
114	0.03515625	0.03515625	1.0	0.06792453
115	0.03125	0.03125	1.0	0.060606062
116	0.0390625	0.03529412	1.0	0.06818182
117	0.02734375	0.023529412	1.0	0.04597701
118	0.02734375	0.02734375	1.0	0.05323194
119	0.03515625	0.031620555	0.8	0.060836505
120	0.04296875	0.039215688	1.0	0.0754717
121	0.0546875	0.050980393	1.0	0.09701492
122	0.0390625	0.039215688	0.90909094	0.07518797
123	0.046875	0.04330709	0.9166667	0.08270677
124	0.03125	0.03125	1.0	0.060606062
125	0.0546875	0.047244094	1.0	0.09022556
126	0.1015625	0.09803922	1.0	0.17857142
127	0.97265625	1.0	0.97265625	0.98613864
128	0.95703125	1.0	0.95703125	0.9780439
129	0.96875	1.0	0.96875	0.984127
130	0.984375	1.0	0.984375	0.992126
131	0.96875	1.0	0.96875	0.984127
132	0.984375	1.0	0.984375	0.992126
133	0.97265625	1.0	0.97265625	0.98613864
134	0.98828125	1.0	0.98828125	0.9941061
135	0.96875	1.0	0.96875	0.984127
136	0.95703125	1.0	0.95703125	0.9780439
137	0.953125	1.0	0.953125	0.976
138	0.95703125	1.0	0.95703125	0.9780439
139	0.97265625	1.0	0.97265625	0.98613864
140	0.9609375	1.0	0.9609375	0.9800797
141	0.96875	1.0	0.96875	0.984127
142	0.97265625	1.0	0.97265625	0.98613864
143	0.94921875	1.0	0.94921875	0.9739479
144	0.953125	1.0	0.953125	0.976
145	0.984375	1.0	0.984375	0.992126
146	0.97265625	1.0	0.97265625	0.98613864
147	0.96875	1.0	0.96875	0.984127
148	0.95703125	1.0	0.95703125	0.9780439
149	0.96484375	1.0	0.96484375	0.98210734
150	0.984375	1.0	0.984375	0.992126
151	0.98046875	1.0	0.98046875	0.99013805
152	0.9765625	1.0	0.9765625	0.9881423
