	accuracy	precision	recall	f1
0	1.0	inf	inf	inf
1	1.0	inf	inf	inf
2	0.875	inf	0.0	inf
3	1.0	inf	inf	inf
4	0.875	inf	0.0	inf
5	1.0	inf	inf	inf
6	0.75	inf	0.0	inf
7	0.875	inf	0.0	inf
8	1.0	inf	inf	inf
9	0.875	inf	0.0	inf
10	1.0	inf	inf	inf
11	1.0	inf	inf	inf
12	1.0	inf	inf	inf
13	1.0	inf	inf	inf
14	1.0	inf	inf	inf
15	1.0	inf	inf	inf
16	0.875	inf	0.0	inf
17	1.0	inf	inf	inf
18	1.0	inf	inf	inf
19	1.0	inf	inf	inf
20	1.0	inf	inf	inf
21	0.875	inf	0.0	inf
22	0.875	inf	0.0	inf
23	1.0	inf	inf	inf
24	1.0	inf	inf	inf
25	0.75	inf	0.0	inf
26	1.0	inf	inf	inf
27	1.0	inf	inf	inf
28	1.0	inf	inf	inf
29	1.0	inf	inf	inf
30	0.875	inf	0.0	inf
31	0.875	inf	0.0	inf
32	1.0	inf	inf	inf
33	0.875	inf	0.0	inf
34	0.875	inf	0.0	inf
35	0.875	inf	0.0	inf
36	1.0	inf	inf	inf
37	1.0	inf	inf	inf
38	0.75	inf	0.0	inf
39	1.0	inf	inf	inf
40	1.0	inf	inf	inf
41	1.0	inf	inf	inf
42	1.0	inf	inf	inf
43	1.0	inf	inf	inf
44	0.875	inf	0.0	inf
45	1.0	inf	inf	inf
46	0.875	inf	0.0	inf
47	1.0	inf	inf	inf
48	1.0	inf	inf	inf
49	1.0	inf	inf	inf
50	0.875	inf	0.0	inf
51	0.875	inf	0.0	inf
52	1.0	inf	inf	inf
53	0.875	inf	0.0	inf
54	1.0	inf	inf	inf
55	1.0	inf	inf	inf
56	1.0	inf	inf	inf
57	0.75	inf	0.0	inf
58	1.0	inf	inf	inf
59	1.0	inf	inf	inf
60	0.875	inf	0.0	inf
61	1.0	inf	inf	inf
62	0.875	inf	0.0	inf
63	1.0	inf	inf	inf
64	1.0	inf	inf	inf
65	1.0	inf	inf	inf
66	1.0	inf	inf	inf
67	1.0	inf	inf	inf
68	0.75	inf	0.0	inf
69	1.0	inf	inf	inf
70	1.0	inf	inf	inf
71	0.875	inf	0.0	inf
72	0.75	inf	0.0	inf
73	0.875	inf	0.0	inf
