	accuracy	precision	recall	f1
0	0.3203125	0.30252102	0.9	0.45283023
1	0.2890625	0.2704918	0.94285715	0.42038217
2	0.296875	0.2905983	0.8292683	0.43037975
3	0.2265625	0.21666667	0.83870965	0.34437087
4	0.3359375	0.33050847	0.8666667	0.4785276
5	0.3359375	0.31967214	0.9512195	0.4785276
6	0.2734375	0.25619835	0.9117647	0.39999998
7	0.2734375	0.25619835	0.9117647	0.39999998
8	0.28125	0.28225806	0.92105263	0.43209878
9	0.3125	0.30578512	0.902439	0.45679015
10	0.2421875	0.23140496	0.875	0.36601305
11	0.3203125	0.33050847	0.82978725	0.4727273
12	0.3359375	0.32456142	0.82222223	0.46540886
13	0.2578125	0.23770492	0.9354839	0.37908497
14	0.3046875	0.3	0.8780488	0.44720498
15	0.28125	0.27419356	0.9444444	0.425
16	0.296875	0.29752067	0.8780488	0.44444445
17	0.3125	0.31707317	0.90697676	0.4698795
18	0.2578125	0.2580645	0.9142857	0.4025157
19	0.3828125	0.38333333	0.9019608	0.5380117
20	0.4140625	0.39344263	0.97959185	0.5614035
21	0.296875	0.30081302	0.902439	0.4512195
22	0.296875	0.29166666	0.875	0.43749997
23	0.28125	0.27642277	0.9189189	0.425
24	0.3125	0.312	0.9512195	0.46987954
25	0.28125	0.27272728	0.8918919	0.4177215
26	0.3359375	0.31666666	0.9268293	0.47204965
27	0.3203125	0.32231405	0.8863636	0.47272727
28	0.3203125	0.31666666	0.88372093	0.4662577
29	0.3203125	0.3140496	0.9047619	0.46625766
30	0.3125	0.3114754	0.9047619	0.46341464
31	0.2734375	0.26495728	0.81578946	0.4
32	0.3203125	0.30833334	0.902439	0.45962736
33	0.3203125	0.29166666	0.9459459	0.44585982
34	0.296875	0.29166666	0.875	0.43749997
35	0.3046875	0.2704918	1.0	0.42580646
36	0.28125	0.2881356	0.8095238	0.42500004
37	0.28125	0.2644628	0.9142857	0.41025642
38	0.3515625	0.33606556	0.95348835	0.4969697
39	0.2734375	0.26771653	1.0	0.42236024
40	0.328125	0.32258064	0.95238096	0.4819277
41	0.328125	0.27192983	0.9117647	0.41891894
42	0.3125	0.30645162	0.95	0.4634146
43	0.3046875	0.29752067	0.9	0.44720498
44	0.3515625	0.31932774	0.95	0.47798744
45	0.328125	0.3305785	0.8888889	0.4819277
46	0.3203125	0.30645162	0.974359	0.46625766
47	0.359375	0.352459	0.9347826	0.5119048
48	0.2890625	0.29508197	0.8780488	0.44171777
49	0.2890625	0.27642277	0.9444444	0.42767295
