	accuracy	precision	recall	f1
0	0.6953125	inf	0.0	inf
1	0.734375	inf	0.0	inf
2	0.703125	inf	0.0	inf
3	0.65625	inf	0.0	inf
4	0.6640625	1.0	0.022727273	0.044444446
5	0.6328125	inf	0.0	inf
6	0.7109375	1.0	0.02631579	0.051282052
7	0.7265625	inf	0.0	inf
8	0.75	inf	0.0	inf
9	0.671875	inf	0.0	inf
10	0.7109375	inf	0.0	inf
11	0.640625	inf	0.0	inf
12	0.71875	inf	0.0	inf
13	0.609375	inf	0.0	inf
14	0.6640625	0.0	0.0	nan
15	0.6953125	1.0	0.025	0.04878049
16	0.75	inf	0.0	inf
17	0.6484375	inf	0.0	inf
18	0.734375	inf	0.0	inf
19	0.703125	inf	0.0	inf
20	0.71875	inf	0.0	inf
21	0.6953125	inf	0.0	inf
22	0.625	1.0	0.020408163	0.04
23	0.6640625	inf	0.0	inf
24	0.703125	inf	0.0	inf
25	0.6953125	inf	0.0	inf
26	0.703125	inf	0.0	inf
27	0.671875	inf	0.0	inf
28	0.640625	0.0	0.0	nan
29	0.6953125	0.0	0.0	nan
30	0.7109375	inf	0.0	inf
31	0.609375	inf	0.0	inf
32	0.640625	inf	0.0	inf
33	0.6796875	0.0	0.0	nan
34	0.671875	0.5	0.023809524	0.045454543
35	0.7109375	inf	0.0	inf
36	0.7109375	inf	0.0	inf
37	0.6015625	inf	0.0	inf
38	0.578125	inf	0.0	inf
39	0.703125	inf	0.0	inf
40	0.71875	inf	0.0	inf
41	0.7109375	inf	0.0	inf
42	0.6484375	inf	0.0	inf
43	0.640625	inf	0.0	inf
44	0.6640625	inf	0.0	inf
45	0.6640625	inf	0.0	inf
46	0.7421875	inf	0.0	inf
47	0.6875	1.0	0.024390243	0.04761905
48	0.6953125	1.0	0.025	0.04878049
49	0.7421875	inf	0.0	inf
