	accuracy	precision	recall	f1
0	0.625	inf	0.0	inf
1	0.6875	0.0	0.0	nan
2	0.4375	0.0	0.0	nan
3	0.5625	inf	0.0	inf
4	0.6875	0.6666667	0.33333334	0.44444448
5	0.6875	inf	0.0	inf
6	0.8125	1.0	0.25	0.4
7	0.5	0.0	0.0	nan
8	0.75	0.6666667	0.4	0.5
9	0.625	0.25	0.25	0.25
10	0.75	0.0	0.0	nan
11	0.625	0.0	0.0	nan
12	0.6875	0.6666667	0.33333334	0.44444448
13	0.75	1.0	0.2	0.3333333
14	0.75	1.0	0.2	0.3333333
15	0.6875	0.0	0.0	nan
16	0.8125	0.33333334	0.5	0.4
17	0.8125	0.5	0.33333334	0.4
18	0.875	1.0	0.5	0.6666667
19	0.625	0.0	0.0	nan
20	0.5	0.0	0.0	nan
21	0.5625	0.0	0.0	nan
22	0.8125	1.0	0.25	0.4
23	0.625	0.0	0.0	nan
24	0.6875	0.0	0.0	nan
25	0.625	0.5	0.16666667	0.25
26	0.375	0.6666667	0.18181819	0.2857143
27	0.4375	0.6666667	0.2	0.30769232
28	0.6875	0.5	0.4	0.44444448
29	0.8125	1.0	0.25	0.4
30	0.8125	0.75	0.6	0.6666667
31	0.625	0.0	0.0	nan
32	0.75	inf	0.0	inf
33	0.6875	1.0	0.16666667	0.2857143
34	0.625	0.5	0.16666667	0.25
35	0.6875	0.0	0.0	nan
36	0.6875	0.25	0.33333334	0.28571427
37	0.75	inf	0.0	inf
38	0.6875	0.5	0.2	0.2857143
39	0.625	1.0	0.14285715	0.25
40	0.6875	1.0	0.16666667	0.2857143
41	0.5625	0.5	0.14285715	0.22222224
42	0.6875	0.0	0.0	nan
43	0.625	0.0	0.0	nan
44	0.75	0.0	0.0	nan
45	0.625	0.5	0.16666667	0.25
46	0.8125	1.0	0.4	0.5714286
47	0.5	0.0	0.0	nan
48	0.8125	inf	0.0	inf
49	0.875	0.5	0.5	0.5
