	accuracy	precision	recall	f1
0	0.1875	0.2	0.75	0.3157895
1	0.5	0.5	1.0	0.6666667
2	0.1875	0.1875	1.0	0.31578946
3	0.125	0.125	1.0	0.22222222
4	0.125	0.13333334	0.6666667	0.22222224
5	0.25	0.25	1.0	0.4
6	0.25	0.25	1.0	0.4
7	0.375	0.375	1.0	0.54545456
8	0.5	0.5	1.0	0.6666667
9	0.3125	0.3125	1.0	0.47619048
10	0.25	0.25	1.0	0.4
11	0.1875	0.1875	1.0	0.31578946
12	0.1875	0.1875	1.0	0.31578946
13	0.25	0.26666668	0.8	0.4
14	0.25	0.26666668	0.8	0.4
15	0.25	0.25	1.0	0.4
16	0.3125	0.3125	1.0	0.47619048
17	0.375	0.375	1.0	0.54545456
18	0.3125	0.33333334	0.8333333	0.4761905
19	0.375	0.375	1.0	0.54545456
20	0.25	0.25	1.0	0.4
21	0.25	0.25	1.0	0.4
22	0.375	0.375	1.0	0.54545456
23	0.5	0.5	1.0	0.6666667
24	0.4375	0.46666667	0.875	0.6086956
25	0.4375	0.4375	1.0	0.6086956
26	0.5	0.5	1.0	0.6666667
27	0.3125	0.3125	1.0	0.47619048
28	0.4375	0.46666667	0.875	0.6086956
29	0.375	0.375	1.0	0.54545456
30	0.4375	0.4375	1.0	0.6086956
31	0.4375	0.4375	1.0	0.6086956
32	0.5	0.53333336	0.8888889	0.6666667
33	0.25	0.25	1.0	0.4
34	0.3125	0.33333334	0.8333333	0.4761905
35	0.5625	0.5625	1.0	0.72
36	0.5	0.5	1.0	0.6666667
37	0.375	0.375	1.0	0.54545456
38	0.125	0.125	1.0	0.22222222
39	0.3125	0.3125	1.0	0.47619048
40	0.3125	0.3125	1.0	0.47619048
41	0.25	0.25	1.0	0.4
42	0.125	0.125	1.0	0.22222222
43	0.3125	0.33333334	0.8333333	0.4761905
44	0.4375	0.4375	1.0	0.6086956
45	0.3125	0.33333334	0.8333333	0.4761905
46	0.1875	0.1875	1.0	0.31578946
47	0.375	0.375	1.0	0.54545456
48	0.375	0.4	0.85714287	0.54545456
49	0.25	0.25	1.0	0.4
