	accuracy	precision	recall	f1
0	0.25	0.25	1.0	0.4
1	0.4375	0.4375	1.0	0.6086956
2	0.3125	0.3125	1.0	0.47619048
3	0.1875	0.1875	1.0	0.31578946
4	0.1875	0.1875	1.0	0.31578946
5	0.34375	0.34375	1.0	0.5116279
6	0.25	0.25	1.0	0.4
7	0.3125	0.3125	1.0	0.47619048
8	0.1875	0.1875	1.0	0.31578946
9	0.34375	0.34375	1.0	0.5116279
10	0.21875	0.21875	1.0	0.35897437
11	0.1875	0.1875	1.0	0.31578946
12	0.1875	0.1875	1.0	0.31578946
13	0.28125	0.28125	1.0	0.4390244
14	0.3125	0.3125	1.0	0.47619048
15	0.25	0.25	1.0	0.4
16	0.375	0.375	1.0	0.54545456
17	0.28125	0.28125	1.0	0.4390244
18	0.34375	0.34375	1.0	0.5116279
19	0.375	0.375	1.0	0.54545456
20	0.4375	0.4375	1.0	0.6086956
21	0.28125	0.28125	1.0	0.4390244
22	0.375	0.375	1.0	0.54545456
23	0.34375	0.34375	1.0	0.5116279
24	0.3125	0.3125	1.0	0.47619048
25	0.40625	0.40625	1.0	0.5777778
26	0.3125	0.3125	1.0	0.47619048
27	0.25	0.25	1.0	0.4
28	0.25	0.25	1.0	0.4
29	0.25	0.25	1.0	0.4
30	0.4375	0.4375	1.0	0.6086956
31	0.15625	0.15625	1.0	0.27027026
32	0.375	0.375	1.0	0.54545456
33	0.25	0.25	1.0	0.4
34	0.40625	0.40625	1.0	0.5777778
35	0.375	0.375	1.0	0.54545456
36	0.25	0.25	1.0	0.4
37	0.375	0.375	1.0	0.54545456
38	0.21875	0.21875	1.0	0.35897437
39	0.28125	0.28125	1.0	0.4390244
40	0.1875	0.1875	1.0	0.31578946
41	0.375	0.375	1.0	0.54545456
42	0.1875	0.1875	1.0	0.31578946
43	0.375	0.375	1.0	0.54545456
44	0.25	0.25	1.0	0.4
45	0.21875	0.21875	1.0	0.35897437
46	0.25	0.25	1.0	0.4
47	0.1875	0.1875	1.0	0.31578946
48	0.1875	0.1875	1.0	0.31578946
49	0.28125	0.28125	1.0	0.4390244
