	accuracy	precision	recall	f1
0	0.578125	0.0	0.0	nan
1	0.609375	0.25	0.04347826	0.074074075
2	0.609375	0.2	0.045454547	0.074074075
3	0.71875	inf	0.0	inf
4	0.75	1.0	0.11111111	0.19999999
5	0.609375	0.0	0.0	nan
6	0.703125	0.2	0.0625	0.095238104
7	0.65625	0.4	0.0952381	0.15384616
8	0.703125	0.4	0.11111111	0.17391303
9	0.6875	0.44444445	0.21052632	0.2857143
10	0.625	1.0	0.07692308	0.14285713
11	0.59375	0.2	0.04347826	0.071428575
12	0.75	0.6666667	0.11764706	0.2
13	0.609375	0.0	0.0	nan
14	0.609375	0.2857143	0.09090909	0.13793103
15	0.71875	0.5	0.11111111	0.18181819
16	0.765625	0.25	0.07692308	0.11764707
17	0.734375	0.4	0.125	0.19047621
18	0.546875	0.0	0.0	nan
19	0.625	0.0	0.0	nan
20	0.640625	0.0	0.0	nan
21	0.578125	0.16666667	0.04347826	0.06896552
22	0.734375	0.0	0.0	nan
23	0.6875	0.25	0.055555556	0.09090909
24	0.640625	0.0	0.0	nan
25	0.625	0.25	0.045454547	0.07692307
26	0.75	1.0	0.05882353	0.111111104
27	0.734375	0.0	0.0	nan
28	0.65625	0.5	0.09090909	0.15384614
29	0.53125	0.0	0.0	nan
30	0.671875	0.0	0.0	nan
31	0.703125	0.75	0.14285715	0.24000002
32	0.703125	0.2857143	0.125	0.17391305
33	0.65625	0.16666667	0.055555556	0.083333336
34	0.78125	0.25	0.083333336	0.125
35	0.609375	0.16666667	0.04761905	0.074074075
36	0.796875	0.2	0.1	0.13333334
37	0.65625	0.54545456	0.26086956	0.3529412
38	0.515625	0.0	0.0	nan
39	0.609375	0.25	0.04347826	0.074074075
40	0.6875	0.625	0.22727273	0.3333333
41	0.6875	0.2	0.05882353	0.090909086
42	0.671875	0.0	0.0	nan
43	0.703125	0.0	0.0	nan
44	0.734375	0.6666667	0.11111111	0.1904762
45	0.765625	0.75	0.1764706	0.2857143
46	0.671875	0.33333334	0.05	0.08695652
47	0.671875	0.5	0.04761905	0.08695652
48	0.640625	0.42857143	0.13636364	0.20689656
49	0.640625	0.33333334	0.045454547	0.080000006
