	accuracy	precision	recall	f1
0	0.625	0.5	0.33333334	0.4
1	0.5	0.5	0.25	0.33333334
2	0.5	0.33333334	0.33333334	0.33333334
3	0.5	0.0	0.0	nan
4	0.375	inf	0.0	inf
5	0.375	0.0	0.0	nan
6	0.75	inf	0.0	inf
7	0.75	inf	0.0	inf
8	0.875	0.0	inf	inf
9	0.75	inf	0.0	inf
10	0.625	0.5	0.33333334	0.4
11	0.625	inf	0.0	inf
12	0.875	1.0	0.5	0.6666667
13	0.5	0.0	0.0	nan
14	0.625	0.0	0.0	nan
15	0.625	1.0	0.25	0.4
16	0.875	0.5	1.0	0.6666667
17	0.75	0.0	0.0	nan
18	0.75	1.0	0.33333334	0.5
19	0.75	0.0	inf	inf
20	0.625	0.0	0.0	nan
21	0.625	0.0	0.0	nan
22	1.0	inf	inf	inf
23	0.625	inf	0.0	inf
24	0.625	inf	0.0	inf
25	0.5	0.0	0.0	nan
26	0.875	inf	0.0	inf
27	0.875	inf	0.0	inf
28	0.75	inf	0.0	inf
29	0.75	0.33333334	1.0	0.5
30	0.875	1.0	0.5	0.6666667
31	0.75	0.5	0.5	0.5
32	0.75	0.6666667	0.6666667	0.6666667
33	0.75	0.0	0.0	nan
34	0.375	1.0	0.16666667	0.2857143
35	0.5	0.0	0.0	nan
36	0.625	0.6666667	0.5	0.57142854
37	0.375	0.0	0.0	nan
38	0.5	0.0	0.0	nan
39	0.75	inf	0.0	inf
40	0.75	inf	0.0	inf
41	0.75	0.0	0.0	nan
42	0.5	0.0	0.0	nan
43	1.0	1.0	1.0	1.0
44	1.0	inf	inf	inf
45	0.5	0.0	0.0	nan
46	0.875	inf	0.0	inf
47	0.625	inf	0.0	inf
48	0.875	1.0	0.5	0.6666667
49	0.875	0.5	1.0	0.6666667
