	accuracy	precision	recall	f1
0	0.7421875	inf	0.0	inf
1	0.609375	0.5	0.02	0.03846154
2	0.6484375	0.6	0.06521739	0.11764706
3	0.6484375	1.0	0.02173913	0.042553194
4	0.65625	1.0	0.06382979	0.12
5	0.734375	0.71428573	0.13513513	0.22727272
6	0.578125	0.0	0.0	nan
7	0.6328125	1.0	0.06	0.11320755
8	0.7109375	0.75	0.07692308	0.13953489
9	0.6953125	0.5	0.051282052	0.093023255
10	0.7578125	inf	0.0	inf
11	0.6875	1.0	0.04761905	0.090909086
12	0.671875	0.0	0.0	nan
13	0.75	1.0	0.08571429	0.15789473
14	0.6171875	1.0	0.039215688	0.0754717
15	0.6875	0.6	0.07317073	0.13043478
16	0.6015625	1.0	0.03773585	0.07272728
17	0.7109375	0.33333334	0.057142857	0.09756098
18	0.7265625	1.0	0.054054055	0.10256411
19	0.671875	0.6666667	0.046511628	0.086956516
20	0.671875	0.5	0.04761905	0.08695652
21	0.625	0.5	0.020833334	0.040000003
22	0.7890625	1.0	0.1	0.18181819
23	0.6796875	0.0	0.0	nan
24	0.671875	0.6666667	0.046511628	0.086956516
25	0.6953125	0.5	0.025641026	0.04878049
26	0.6796875	1.0	0.08888889	0.16326532
27	0.7109375	0.6666667	0.102564104	0.17777778
28	0.6796875	inf	0.0	inf
29	0.734375	1.0	0.08108108	0.15
30	0.640625	1.0	0.06122449	0.11538462
31	0.703125	0.0	0.0	nan
32	0.671875	0.6666667	0.046511628	0.086956516
33	0.7421875	1.0	0.029411765	0.057142857
34	0.6796875	0.5	0.024390243	0.046511628
35	0.6328125	0.0	0.0	nan
36	0.703125	0.5	0.02631579	0.049999997
37	0.7578125	0.33333334	0.033333335	0.060606066
38	0.75	0.6	0.09090909	0.15789473
39	0.6953125	0.8333333	0.11627907	0.20408164
40	0.71875	1.0	0.027027028	0.05263158
41	0.703125	0.33333334	0.027027028	0.049999997
42	0.671875	0.5	0.023809524	0.045454543
43	0.7578125	0.6666667	0.0625	0.114285715
44	0.671875	1.0	0.023255814	0.045454543
45	0.7265625	0.0	0.0	nan
46	0.75	0.5	0.03125	0.05882353
47	0.71875	0.0	0.0	nan
48	0.625	0.75	0.06	0.111111104
49	0.7421875	0.5	0.030303031	0.05714286
