	accuracy	precision	recall	f1
0	0.34375	0.2952381	0.75609756	0.42465752
1	0.46875	0.4	0.8333333	0.5405406
2	0.4375	0.34	0.85	0.48571426
3	0.3671875	0.30476192	0.8	0.4413793
4	0.3671875	0.2596154	0.87096775	0.39999998
5	0.3125	0.26605505	0.7837838	0.3972603
6	0.28125	0.23853211	0.74285716	0.3611111
7	0.40625	0.35238096	0.82222223	0.49333334
8	0.4609375	0.4144144	0.92	0.57142854
9	0.4140625	0.3265306	0.7804878	0.46043167
10	0.390625	0.34234235	0.88372093	0.4935065
11	0.4296875	0.36792454	0.8666667	0.5165563
12	0.3359375	0.23529412	0.7741935	0.36090225
13	0.375	0.29126215	0.8108108	0.42857146
14	0.375	0.30555555	0.8684211	0.45205477
15	0.328125	0.26213592	0.7297297	0.38571426
16	0.375	0.3069307	0.75609756	0.43661973
17	0.328125	0.25688073	0.8484849	0.3943662
18	0.3359375	0.29411766	0.6976744	0.41379312
19	0.3671875	0.3364486	0.7826087	0.47058824
20	0.3125	0.2596154	0.7105263	0.38028172
21	0.40625	0.35643566	0.7659575	0.4864865
22	0.3515625	0.33636364	0.78723407	0.47133756
23	0.34375	0.2761905	0.7837838	0.4084507
24	0.390625	0.31730768	0.825	0.45833334
25	0.3359375	0.3153153	0.79545456	0.4516129
26	0.375	0.32038835	0.76744187	0.4520548
27	0.375	0.33962265	0.7826087	0.4736842
28	0.390625	0.317757	0.8717949	0.46575344
29	0.4375	0.3904762	0.8367347	0.53246754
30	0.3359375	0.25	0.6486486	0.36090225
31	0.4296875	0.34020618	0.78571427	0.47482014
32	0.4609375	0.4	0.81632656	0.53691274
33	0.421875	0.38181818	0.875	0.53164554
34	0.375	0.30097088	0.7948718	0.43661973
35	0.390625	0.3364486	0.8372093	0.48000002
36	0.3984375	0.34285715	0.8181818	0.48322147
37	0.328125	0.22916667	0.64705884	0.33846152
38	0.390625	0.29896906	0.74358976	0.4264706
39	0.3046875	0.27272728	0.7692308	0.40268454
40	0.2890625	0.21495327	0.76666665	0.3357664
41	0.3359375	0.20618556	0.71428573	0.32
42	0.3671875	0.3271028	0.79545456	0.46357617
43	0.25	0.1764706	0.6	0.27272728
44	0.328125	0.2596154	0.75	0.38571426
45	0.3984375	0.35849056	0.80851066	0.49673203
46	0.421875	0.3653846	0.82608694	0.5066666
47	0.3671875	0.3243243	0.85714287	0.47058824
48	0.484375	0.39805827	0.9111111	0.5540541
49	0.3984375	0.2929293	0.8055556	0.42962962
