	loss	accuracy	precision	recall	f1
0	52.06068	0.0390625	0.0390625	1.0	0.075187966
1	52.198128	0.015625	0.015625	1.0	0.03076923
2	51.626778	0.0703125	0.0703125	1.0	0.13138686
3	50.290516	0.03125	0.03125	1.0	0.060606062
4	50.243835	0.03125	0.03125	1.0	0.060606062
5	49.868137	0.0390625	0.0390625	1.0	0.075187966
6	50.36134	0.0390625	0.0390625	1.0	0.075187966
7	49.177696	0.015625	0.015625	1.0	0.03076923
8	49.28716	0.015625	0.015625	1.0	0.03076923
9	48.300533	0.015625	0.015625	1.0	0.03076923
10	49.00453	0.03125	0.03125	1.0	0.060606062
11	48.204544	0.0546875	0.0546875	1.0	0.1037037
12	48.883286	0.0390625	0.0390625	1.0	0.075187966
13	47.777912	0.03125	0.03125	1.0	0.060606062
14	48.595726	0.03125	0.03125	1.0	0.060606062
15	48.642452	0.0234375	0.0234375	1.0	0.045801528
16	48.232227	0.0390625	0.0390625	1.0	0.075187966
17	48.1335	0.0546875	0.0546875	1.0	0.1037037
18	49.28922	0.046875	0.046875	1.0	0.08955224
19	48.248367	0.0234375	0.0234375	1.0	0.045801528
20	46.787663	0.015625	0.015625	1.0	0.03076923
21	47.515327	0.0234375	0.0234375	1.0	0.045801528
22	48.092297	0.0703125	0.0703125	1.0	0.13138686
23	47.36848	0.0	0.0	0	0
24	47.45103	0.0390625	0.0390625	1.0	0.075187966
25	48.087708	0.0390625	0.0390625	1.0	0.075187966
26	47.861073	0.0234375	0.0234375	1.0	0.045801528
27	48.407063	0.0234375	0.0234375	1.0	0.045801528
28	48.167408	0.0390625	0.0390625	1.0	0.075187966
29	46.302483	0.0625	0.0625	1.0	0.11764706
30	47.32176	0.015625	0.015625	1.0	0.03076923
31	47.192966	0.0234375	0.0234375	1.0	0.045801528
32	46.72068	0.03125	0.03125	1.0	0.060606062
33	46.585876	0.03125	0.03125	1.0	0.060606062
34	47.06633	0.015625	0.015625	1.0	0.03076923
35	45.921703	0.0625	0.0625	1.0	0.11764706
36	46.621716	0.0234375	0.0234375	1.0	0.045801528
37	46.57469	0.0546875	0.0546875	1.0	0.1037037
38	47.531734	0.03125	0.03125	1.0	0.060606062
39	48.348644	0.03125	0.03125	1.0	0.060606062
40	46.759937	0.0546875	0.0546875	1.0	0.1037037
41	46.74068	0.03125	0.03125	1.0	0.060606062
42	47.09328	0.0234375	0.0234375	1.0	0.045801528
43	46.69983	0.0234375	0.0234375	1.0	0.045801528
44	46.647068	0.046875	0.046875	1.0	0.08955224
45	46.39399	0.0625	0.0625	1.0	0.11764706
46	47.606964	0.0390625	0.0390625	1.0	0.075187966
47	47.041893	0.0234375	0.0234375	1.0	0.045801528
48	47.4598	0.046875	0.046875	1.0	0.08955224
49	47.64747	0.0390625	0.0390625	1.0	0.075187966
50	47.040924	0.046875	0.046875	1.0	0.08955224
51	46.327187	0.03125	0.03125	1.0	0.060606062
52	46.577282	0.03125	0.03125	1.0	0.060606062
53	46.671078	0.0234375	0.0234375	1.0	0.045801528
54	46.237263	0.0234375	0.0234375	1.0	0.045801528
55	46.681465	0.0703125	0.0703125	1.0	0.13138686
56	46.582756	0.03125	0.03125	1.0	0.060606062
57	46.56345	0.0390625	0.0390625	1.0	0.075187966
58	47.21277	0.0625	0.0625	1.0	0.11764706
59	46.333397	0.046875	0.046875	1.0	0.08955224
60	47.56677	0.0390625	0.0390625	1.0	0.075187966
61	46.036076	0.0234375	0.0234375	1.0	0.045801528
62	46.26256	0.0625	0.0625	1.0	0.11764706
63	45.969482	0.015625	0.015625	1.0	0.03076923
64	46.748375	0.03125	0.03125	1.0	0.060606062
65	46.43856	0.0234375	0.0234375	1.0	0.045801528
66	46.03868	0.0234375	0.0234375	1.0	0.045801528
67	46.50926	0.03125	0.03125	1.0	0.060606062
68	45.909126	0.015625	0.015625	1.0	0.03076923
69	45.730362	0.03125	0.03125	1.0	0.060606062
70	46.395702	0.0078125	0.0078125	1.0	0.015503876
71	45.970337	0.015625	0.015625	1.0	0.03076923
72	45.84075	0.015625	0.015625	1.0	0.03076923
73	47.359974	0.0234375	0.0234375	1.0	0.045801528
74	45.67348	0.03125	0.03125	1.0	0.060606062
0	46.110867	0.0390625	0.0390625	1.0	0.075187966
1	46.778496	0.0234375	0.0234375	1.0	0.045801528
2	44.883507	0.03125	0.03125	1.0	0.060606062
3	45.8252	0.0546875	0.0546875	1.0	0.1037037
4	45.336655	0.0546875	0.047244094	1.0	0.09022556
5	45.628944	0.015625	0.015625	1.0	0.03076923
6	46.30993	0.0390625	0.03937008	0.8333333	0.075187966
7	45.52157	0.015625	0.015625	1.0	0.03076923
8	45.70031	0.03125	0.03125	1.0	0.060606062
9	45.29092	0.03125	0.03125	1.0	0.060606062
10	45.506035	0.0234375	0.0234375	1.0	0.045801528
11	44.924664	0.03125	0.03125	1.0	0.060606062
12	45.72092	0.03125	0.031496063	0.8	0.060606062
13	45.26354	0.0625	0.0625	1.0	0.11764706
14	46.000713	0.0390625	0.03937008	0.8333333	0.075187966
15	45.5376	0.015625	0.015625	1.0	0.03076923
16	45.911144	0.046875	0.046875	1.0	0.08955224
17	44.971832	0.0	0.0	0	0
18	44.970364	0.0234375	0.0234375	1.0	0.045801528
19	45.653698	0.0234375	0.0234375	1.0	0.045801528
20	45.410233	0.0390625	0.0390625	1.0	0.075187966
21	45.28815	0.0546875	0.0546875	1.0	0.1037037
22	46.082436	0.0546875	0.0546875	1.0	0.1037037
23	45.664314	0.0390625	0.0390625	1.0	0.075187966
24	45.408905	0.03125	0.03125	1.0	0.060606062
25	45.80425	0.0390625	0.0390625	1.0	0.075187966
26	44.980984	0.0390625	0.03937008	0.8333333	0.075187966
27	44.300972	0.0390625	0.0390625	1.0	0.075187966
28	45.09111	0.0390625	0.0390625	1.0	0.075187966
29	44.857384	0.0703125	0.0703125	1.0	0.13138686
30	45.3626	0.046875	0.046875	1.0	0.08955224
31	44.42086	0.046875	0.046875	1.0	0.08955224
32	45.173367	0.03125	0.03125	1.0	0.060606062
33	45.405277	0.046875	0.046875	1.0	0.08955224
34	45.33591	0.03125	0.03125	1.0	0.060606062
35	44.58553	0.046875	0.046875	1.0	0.08955224
36	45.525482	0.0390625	0.0390625	1.0	0.075187966
37	45.621082	0.0390625	0.031496063	1.0	0.061068702
38	45.067818	0.0546875	0.0546875	1.0	0.1037037
39	44.726696	0.03125	0.03125	1.0	0.060606062
40	46.187756	0.03125	0.03125	1.0	0.060606062
41	44.924225	0.046875	0.046875	1.0	0.08955224
42	45.331245	0.03125	0.03125	1.0	0.060606062
43	44.689316	0.03125	0.03125	1.0	0.060606062
44	45.38334	0.0234375	0.0234375	1.0	0.045801528
45	44.420765	0.0390625	0.0390625	1.0	0.075187966
46	44.958572	0.046875	0.047244094	0.85714287	0.08955224
47	44.594975	0.0546875	0.0546875	1.0	0.1037037
48	45.054558	0.046875	0.047244094	0.85714287	0.08955224
49	44.9802	0.0625	0.05511811	1.0	0.104477614
50	44.24955	0.0234375	0.0234375	1.0	0.045801528
51	45.13851	0.0390625	0.0390625	1.0	0.075187966
52	44.104736	0.0546875	0.0546875	1.0	0.1037037
53	44.30235	0.0546875	0.0546875	1.0	0.1037037
54	45.7597	0.0234375	0.0234375	1.0	0.045801528
55	45.699127	0.03125	0.03125	1.0	0.060606062
56	45.353493	0.0	0.0	0.0	0
57	44.102543	0.015625	0.015625	1.0	0.03076923
58	45.145157	0.0234375	0.0234375	1.0	0.045801528
59	44.83614	0.046875	0.046875	1.0	0.08955224
60	44.007183	0.015625	0.015625	1.0	0.03076923
61	44.25919	0.0390625	0.0390625	1.0	0.075187966
62	44.944748	0.015625	0.015625	1.0	0.03076923
63	45.550797	0.0390625	0.0390625	1.0	0.075187966
64	44.948864	0.0625	0.0625	1.0	0.11764706
65	44.540775	0.015625	0.015625	1.0	0.03076923
66	44.608917	0.0390625	0.0390625	1.0	0.075187966
67	43.74012	0.0078125	0.0078125	1.0	0.015503876
68	45.087624	0.046875	0.046875	1.0	0.08955224
69	45.565643	0.03125	0.03125	1.0	0.060606062
70	44.718124	0.0390625	0.0390625	1.0	0.075187966
71	43.92311	0.046875	0.046875	1.0	0.08955224
72	45.87161	0.046875	0.046875	1.0	0.08955224
73	44.595856	0.0546875	0.05511811	0.875	0.10370371
74	43.930363	0.03125	0.03125	1.0	0.060606062
0	42.0307	0.046875	0.046875	1.0	0.08955224
1	41.715084	0.0703125	0.0703125	1.0	0.13138686
2	41.81166	0.0546875	0.0546875	1.0	0.1037037
3	41.592293	0.046875	0.046875	1.0	0.08955224
4	42.39527	0.046875	0.046875	1.0	0.08955224
5	42.80533	0.046875	0.046875	1.0	0.08955224
6	42.044945	0.0234375	0.0234375	1.0	0.045801528
7	40.704296	0.046875	0.046875	1.0	0.08955224
8	43.13716	0.046875	0.046875	1.0	0.08955224
9	43.74076	0.0546875	0.047244094	1.0	0.09022556
10	41.593487	0.0546875	0.0546875	1.0	0.1037037
11	42.877357	0.0390625	0.031496063	1.0	0.061068702
12	42.171818	0.046875	0.046875	1.0	0.08955224
13	43.287357	0.0390625	0.0390625	1.0	0.075187966
14	43.86264	0.0703125	0.0703125	1.0	0.13138686
15	39.734367	0.03125	0.03125	1.0	0.060606062
16	41.24047	0.03125	0.03125	1.0	0.060606062
17	43.8117	0.0	0.0	0	0
18	42.9674	0.03125	0.03125	1.0	0.060606062
19	41.18849	0.0234375	0.0234375	1.0	0.045801528
20	40.810684	0.03125	0.03125	1.0	0.060606062
21	41.827175	0.046875	0.046875	1.0	0.08955224
22	41.990143	0.0234375	0.0234375	1.0	0.045801528
23	42.361603	0.03125	0.03125	1.0	0.060606062
24	42.6234	0.046875	0.046875	1.0	0.08955224
25	42.06693	0.046875	0.046875	1.0	0.08955224
26	40.978577	0.0625	0.05511811	1.0	0.104477614
27	42.540348	0.0390625	0.0390625	1.0	0.075187966
28	42.940716	0.03125	0.03125	1.0	0.060606062
29	42.954575	0.03125	0.03125	1.0	0.060606062
30	42.010548	0.0078125	0.0078125	1.0	0.015503876
31	41.340702	0.046875	0.046875	1.0	0.08955224
32	40.4671	0.015625	0.015625	1.0	0.03076923
33	41.144207	0.03125	0.023622047	1.0	0.046153847
34	41.220467	0.0078125	0.0078125	1.0	0.015503876
35	42.843353	0.03125	0.03125	1.0	0.060606062
36	43.35517	0.0546875	0.0546875	1.0	0.1037037
37	39.393642	0.015625	0.015625	1.0	0.03076923
38	42.86787	0.0234375	0.0234375	1.0	0.045801528
39	41.828804	0.046875	0.046875	1.0	0.08955224
40	41.336338	0.046875	0.046875	1.0	0.08955224
41	40.8181	0.046875	0.03937008	1.0	0.07575758
42	41.734108	0.03125	0.03125	1.0	0.060606062
43	40.632214	0.046875	0.046875	1.0	0.08955224
44	40.59291	0.0390625	0.0390625	1.0	0.075187966
45	41.54987	0.0390625	0.0390625	1.0	0.075187966
46	43.11736	0.046875	0.03937008	1.0	0.07575758
47	41.671352	0.0546875	0.0546875	1.0	0.1037037
48	41.955044	0.015625	0.015625	1.0	0.03076923
49	40.986214	0.03125	0.031496063	0.8	0.060606062
50	41.676105	0.078125	0.070866145	1.0	0.13235295
51	43.4971	0.015625	0.015625	1.0	0.03076923
52	40.592854	0.03125	0.03125	1.0	0.060606062
